airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air Asia,24/03/2019,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No info,5620
Air India,6/03/2019,Delhi,Cochin,17:40:00,08:15:00,875,1.0,No info,11038
Jet Airways,15/06/2019,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No info,8016
Jet Airways,3/06/2019,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,No info,14714
Air India,21/03/2019,Delhi,Cochin,19:00:00,19:15:00,1455,1.0,No info,6587
Spicejet,15/04/2019,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,5726
Jet Airways,12/06/2019,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,5769
Jet Airways,06/03/2019,Banglore,New Delhi,08:55:00,07:40:00,1365,1.0,No info,14815
Air India,15/03/2019,Banglore,New Delhi,08:50:00,15:15:00,385,1.0,No info,8714
Jet Airways,6/05/2019,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No info,8040
Indigo,3/06/2019,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No info,2754
Air India,1/05/2019,Kolkata,Banglore,09:10:00,21:50:00,760,2.0,No info,12009
Indigo,15/05/2019,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No info,3943
Vistara,21/05/2019,Kolkata,Banglore,20:20:00,18:50:00,1350,1.0,No info,9345
Jet Airways,21/03/2019,Banglore,New Delhi,11:40:00,12:15:00,1475,1.0,In-flight meal not included,7832
Indigo,12/05/2019,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No info,3597
Jet Airways,1/05/2019,Kolkata,Banglore,20:25:00,22:05:00,1540,1.0,No info,14151
Jet Airways,6/06/2019,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,10539
Indigo,6/04/2019,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No info,5298
Spicejet,3/03/2019,Kolkata,Banglore,06:55:00,09:35:00,160,0.0,No info,4622
Vistara,03/03/2019,Banglore,New Delhi,21:10:00,00:05:00,175,0.0,No info,7608
Jet Airways,1/06/2019,Delhi,Cochin,18:15:00,04:25:00,610,1.0,No info,14714
Air India,9/03/2019,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No info,11622
Jet Airways,21/05/2019,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,4030
Multiple Carriers,27/06/2019,Delhi,Cochin,14:00:00,01:30:00,690,1.0,No info,13377
Spicejet,12/05/2019,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,3597
Jet Airways,1/04/2019,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No info,11467
Air India,24/05/2019,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No info,14083
Jet Airways,12/06/2019,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Air India,01/03/2019,Banglore,New Delhi,09:30:00,12:05:00,1595,1.0,No info,12704
Jet Airways,21/05/2019,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No info,5678
Indigo,01/03/2019,Banglore,New Delhi,23:30:00,02:20:00,170,0.0,No info,10067
Spicejet,24/05/2019,Kolkata,Banglore,08:35:00,17:15:00,520,1.0,No info,6643
Indigo,18/03/2019,Banglore,New Delhi,12:10:00,17:05:00,295,1.0,No info,4410
Jet Airways,21/03/2019,Banglore,New Delhi,09:45:00,14:25:00,280,1.0,In-flight meal not included,7280
Air India,12/03/2019,Mumbai,Hyderabad,16:50:00,12:25:00,1175,3.0,No info,14260
Jet Airways,9/06/2019,Delhi,Cochin,09:40:00,19:00:00,560,2.0,No info,13014
Jet Airways,18/05/2019,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No info,15129
Indigo,18/03/2019,Delhi,Cochin,14:30:00,17:35:00,185,0.0,No info,5406
Indigo,18/05/2019,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No info,7464
Multiple Carriers,3/03/2019,Delhi,Cochin,13:05:00,22:20:00,555,1.0,No info,14153
Indigo,3/04/2019,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No info,4174
Jet Airways,6/04/2019,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,4886
Indigo,18/06/2019,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No info,3850
Air India,9/05/2019,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No info,3100
Jet Airways,21/05/2019,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No info,14151
Goair,3/06/2019,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No info,3898
Air India,03/03/2019,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No info,12841
Indigo,12/05/2019,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No info,3540
Jet Airways,24/05/2019,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No info,7229
Multiple Carriers,1/05/2019,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No info,15373
Jet Airways,24/03/2019,Kolkata,Banglore,19:45:00,19:40:00,1435,1.0,No info,13759
Air Asia,1/05/2019,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No info,5192
Air India,6/03/2019,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No info,15284
Spicejet,9/06/2019,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No info,4423
Multiple Carriers,21/05/2019,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No info,7888
Multiple Carriers,27/06/2019,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No info,18275
Indigo,24/03/2019,Banglore,New Delhi,10:10:00,13:00:00,170,0.0,No info,10067
Air India,15/05/2019,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No info,11491
Jet Airways,24/06/2019,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,No info,13376
Jet Airways,6/04/2019,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4544
Multiple Carriers,21/03/2019,Delhi,Cochin,04:45:00,19:15:00,870,1.0,No info,6630
Jet Airways,9/05/2019,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,In-flight meal not included,9314
Indigo,18/03/2019,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No info,3175
Air India,1/04/2019,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No info,5117
Jet Airways,6/05/2019,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No info,14781
Spicejet,24/03/2019,Kolkata,Banglore,06:55:00,09:35:00,160,0.0,No check-in baggage included,4781
Air Asia,21/05/2019,Kolkata,Banglore,09:45:00,12:15:00,150,0.0,No info,4409
Spicejet,27/04/2019,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No info,4423
Jet Airways,9/06/2019,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No info,9564
Spicejet,6/06/2019,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No info,10156
Indigo,1/06/2019,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No info,6541
Multiple Carriers,27/03/2019,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No info,6637
Indigo,18/06/2019,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No info,3858
Air India,1/04/2019,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No info,5117
Jet Airways,18/05/2019,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,8586
Air India,18/03/2019,Banglore,New Delhi,17:00:00,19:45:00,165,0.0,No info,4441
Goair,9/04/2019,Delhi,Cochin,07:25:00,13:20:00,355,1.0,No info,4106
Jet Airways,27/06/2019,Delhi,Cochin,23:05:00,12:35:00,810,2.0,No info,12819
Air Asia,9/05/2019,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No info,5162
Air India,1/05/2019,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No info,3625
Jet Airways,9/05/2019,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No info,7229
Air India,09/03/2019,Banglore,New Delhi,06:50:00,23:10:00,980,1.0,No info,5626
Jet Airways,1/04/2019,Kolkata,Banglore,16:30:00,20:45:00,1695,1.0,No info,12681
Spicejet,21/05/2019,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Spicejet,6/05/2019,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No info,9736
Indigo,21/05/2019,Delhi,Cochin,10:35:00,21:00:00,625,1.0,No info,6794
Air India,24/03/2019,Kolkata,Banglore,09:10:00,21:50:00,760,2.0,No info,15187
Jet Airways,27/06/2019,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No info,8040
Multiple Carriers,6/06/2019,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No info,13377
Jet Airways,1/06/2019,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4050
Vistara,15/04/2019,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No info,5613
Air India,24/06/2019,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No info,9548
Air Asia,24/06/2019,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No info,3383
Jet Airways,18/06/2019,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Jet Airways,21/05/2019,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,In-flight meal not included,12898
Indigo,15/05/2019,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No info,3943
Spicejet,9/03/2019,Delhi,Cochin,16:35:00,22:50:00,375,1.0,No info,7084
Air India,27/06/2019,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No info,7480
Jet Airways,27/05/2019,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,10675
Jet Airways,9/04/2019,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,4544
Spicejet,6/06/2019,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No info,3597
Indigo,9/04/2019,Banglore,Delhi,05:30:00,08:20:00,170,0.0,No info,3943
Indigo,6/05/2019,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No info,3597
Indigo,27/03/2019,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No info,4729
Multiple Carriers,9/05/2019,Delhi,Cochin,11:40:00,01:30:00,830,1.0,No info,9021
Multiple Carriers,27/05/2019,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No info,10786
Jet Airways,9/06/2019,Delhi,Cochin,19:15:00,04:25:00,550,1.0,In-flight meal not included,10577
Air India,3/04/2019,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No info,4441
Indigo,03/03/2019,Banglore,New Delhi,06:00:00,08:45:00,165,0.0,No info,6144
Air Asia,21/05/2019,Delhi,Cochin,16:45:00,22:30:00,345,1.0,No info,8028
Multiple Carriers,9/05/2019,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No info,8073
Multiple Carriers,27/05/2019,Delhi,Cochin,06:00:00,19:00:00,780,1.0,No info,11264
Spicejet,18/06/2019,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No info,3873
Jet Airways,24/05/2019,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,8040
Jet Airways,6/06/2019,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,13469
Jet Airways,1/05/2019,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,In-flight meal not included,10844
Spicejet,3/05/2019,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,3597
Jet Airways,6/06/2019,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,10262
Multiple Carriers,6/06/2019,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No info,12192
Multiple Carriers,3/06/2019,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No info,13587
Jet Airways,18/06/2019,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No info,8016
Multiple Carriers,27/03/2019,Delhi,Cochin,10:20:00,01:35:00,915,1.0,No info,6427
Multiple Carriers,21/03/2019,Delhi,Cochin,14:35:00,22:20:00,465,1.0,In-flight meal not included,5999
Vistara,9/04/2019,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No info,5403
Air India,12/06/2019,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No info,5228
Jet Airways,15/06/2019,Delhi,Cochin,12:15:00,12:35:00,1460,2.0,No info,14300
Jet Airways,9/06/2019,Delhi,Cochin,07:05:00,19:00:00,715,1.0,No info,14714
Air India,21/04/2019,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No info,7174
Jet Airways,12/05/2019,Kolkata,Banglore,17:00:00,22:05:00,1745,1.0,No info,13067
Indigo,12/06/2019,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No info,6938
Air India,1/04/2019,Kolkata,Banglore,16:45:00,23:15:00,1830,3.0,No info,8607
Air India,21/03/2019,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No info,11071
Indigo,15/03/2019,Delhi,Cochin,14:30:00,17:35:00,185,0.0,No info,5895
Spicejet,27/06/2019,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,3597
Air India,15/06/2019,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No info,5201
Air India,18/03/2019,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No info,4729
Air India,15/05/2019,Kolkata,Banglore,07:00:00,05:25:00,1345,2.0,No info,14424
Jet Airways,12/05/2019,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No info,7229
Indigo,09/03/2019,Banglore,New Delhi,22:20:00,01:10:00,170,0.0,No info,4377
Jet Airways,12/05/2019,Kolkata,Banglore,16:30:00,09:20:00,1010,1.0,No info,14388
Jet Airways,01/03/2019,Banglore,New Delhi,11:40:00,18:25:00,405,1.0,No info,26890
Jet Airways,18/05/2019,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,5198
Vistara,6/06/2019,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No info,8610
Jet Airways,15/04/2019,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Air India,6/06/2019,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No info,13381
Air India,18/03/2019,Banglore,New Delhi,10:00:00,12:45:00,165,0.0,No info,4441
Air Asia,24/06/2019,Delhi,Cochin,20:45:00,06:35:00,590,1.0,No info,6152
Air India,9/05/2019,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,3100
Indigo,9/04/2019,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No info,4174
Multiple Carriers,6/06/2019,Delhi,Cochin,07:10:00,22:30:00,920,1.0,No info,7038
Goair,21/04/2019,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No info,6591
Indigo,3/06/2019,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No info,7514
Jet Airways,21/04/2019,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No info,7229
Jet Airways,06/03/2019,Banglore,New Delhi,21:25:00,10:25:00,780,1.0,No info,17261
Jet Airways,6/06/2019,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,No info,14714
Indigo,21/03/2019,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No info,4777
Jet Airways,24/03/2019,Kolkata,Banglore,21:10:00,22:35:00,1525,1.0,In-flight meal not included,10031
Indigo,12/06/2019,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No info,3943
Indigo,27/03/2019,Mumbai,Hyderabad,20:05:00,21:35:00,90,0.0,No info,2227
Vistara,6/05/2019,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No info,8610
Multiple Carriers,27/05/2019,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No info,8475
Spicejet,15/05/2019,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Air India,12/06/2019,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No info,10231
Air India,18/05/2019,Delhi,Cochin,10:55:00,07:40:00,1245,2.0,No info,13486
Spicejet,6/05/2019,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,1965
Vistara,6/06/2019,Kolkata,Banglore,07:10:00,09:05:00,1555,1.0,No info,8452
Jet Airways,1/05/2019,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,No info,12121
Jet Airways,27/05/2019,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,12898
Indigo,9/05/2019,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No info,4049
Jet Airways,18/05/2019,Kolkata,Banglore,05:45:00,16:20:00,635,1.0,No info,14781
Multiple Carriers,27/03/2019,Delhi,Cochin,13:00:00,01:35:00,755,1.0,No info,6673
Air India,03/03/2019,Banglore,New Delhi,10:00:00,12:45:00,165,0.0,No info,11423
Multiple Carriers,27/03/2019,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No info,6953
Spicejet,1/05/2019,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Jet Airways,6/06/2019,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,In-flight meal not included,10844
Jet Airways,24/04/2019,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4544
Goair,24/03/2019,Banglore,New Delhi,07:45:00,10:40:00,175,0.0,No info,5048
Air Asia,1/06/2019,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No info,11410
Vistara,15/05/2019,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No info,4668
Spicejet,15/03/2019,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No check-in baggage included,6205
Multiple Carriers,9/03/2019,Delhi,Cochin,07:05:00,22:20:00,915,1.0,No info,6916
Indigo,9/05/2019,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No info,5277
Multiple Carriers,21/03/2019,Delhi,Cochin,17:00:00,01:35:00,515,1.0,No info,7363
Jet Airways,01/03/2019,Banglore,New Delhi,05:50:00,12:20:00,390,1.0,Business class,28097
Jet Airways,9/06/2019,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,10262
Jet Airways,12/06/2019,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,In-flight meal not included,10262
Multiple Carriers,9/06/2019,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No info,13587
Jet Airways,21/03/2019,Delhi,Cochin,13:00:00,18:50:00,350,1.0,No info,12347
Spicejet,3/04/2019,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No info,4611
Goair,3/03/2019,Delhi,Cochin,07:00:00,12:50:00,350,1.0,No info,7378
Indigo,6/05/2019,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No info,3342
Multiple Carriers,15/05/2019,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No info,9103
Jet Airways,9/06/2019,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No info,14714
Indigo,21/03/2019,Delhi,Cochin,17:10:00,01:35:00,505,1.0,No info,7318
Jet Airways,21/03/2019,Delhi,Cochin,18:25:00,04:25:00,600,2.0,In-flight meal not included,7791
Jet Airways,9/06/2019,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,In-flight meal not included,10577
Spicejet,27/03/2019,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,3847
Indigo,3/03/2019,Kolkata,Banglore,22:10:00,00:55:00,165,0.0,No info,5618
Indigo,24/04/2019,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No info,4804
Jet Airways,9/04/2019,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No info,10909
Jet Airways,15/06/2019,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,No info,13376
Jet Airways,12/06/2019,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,No info,12692
Jet Airways,18/05/2019,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No info,15129
Jet Airways,27/04/2019,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,4544
Spicejet,1/04/2019,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,3873
Air India,24/05/2019,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No info,7171
Jet Airways,6/06/2019,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No info,14571
Multiple Carriers,27/03/2019,Delhi,Cochin,07:05:00,13:20:00,375,1.0,No info,12537
Multiple Carriers,24/06/2019,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No info,7618
Jet Airways,24/06/2019,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,10262
Indigo,18/05/2019,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,No info,4226
Jet Airways,15/05/2019,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No info,14151
Jet Airways,9/05/2019,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No info,14781
Multiple Carriers,3/06/2019,Delhi,Cochin,14:55:00,22:30:00,455,1.0,No info,7038
Indigo,3/05/2019,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No info,4823
Multiple Carriers,27/06/2019,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No info,13377
Jet Airways,1/05/2019,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,No info,11467
Indigo,21/06/2019,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No info,5755
Indigo,15/05/2019,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No info,8618
Multiple Carriers,24/06/2019,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No info,13587
Multiple Carriers,21/03/2019,Delhi,Cochin,06:40:00,18:50:00,730,1.0,No info,13568
Air India,24/06/2019,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No info,11989
Indigo,15/04/2019,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No info,4423
Indigo,24/03/2019,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No info,4752
Vistara,6/05/2019,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No info,3687
